id,title_pt,preview_text_pt,preview_text_derived,credit_pt,selection_status,eligibility,print_source
MM202601,"Um aspecto do cortejo da Festa da Pinha, em Estoi","Registo do cortejo da Festa da Pinha em Estoi, em 1909, em frente à Casa Rural de Milreu.",true,Arquivo Nacional da Torre do Tombo — Foto Artística Samorrinha. Autor: José Viegas Samorrinha. Código de referência: PT/TT/SAM/A/001/000016.,not-selected,candidate,public/media/museum/originals/MM202601.jpg
MM202602,"Memórias de juventude — Estoi, década de 1950","Grupo de jovens raparigas junto ao edifício de cultos de Milreu, possivelmente durante um passeio, na década de 1950.",true,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",not-selected,candidate,public/media/museum/originals/MM202602.jpg
MM202603,Achados romanos de Milreu,Registo associado aos achados dos bustos romanos de Agripina e Adriano nas escavações de Milreu.,true,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",not-selected,candidate,public/media/museum/originals/MM202603.jpg
MM202604,Figura popular de Estoi — Ti’ Jacinto,"Retrato de Ti’ Jacinto, figura recordada pela comunidade de Estoi.",true,Fotografia cedida por Luís Barriga; descrição divulgada na página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO.,not-selected,candidate,public/media/museum/originals/MM202604.jpg
MM202605,Visita de jornalistas ingleses a Milreu,Registo da visita de jornalistas ingleses às Ruínas de Milreu em 1913.,true,"Ilustração Portuguesa, 2.ª série, n.º 368, 10 de março de 1913; Hemeroteca Digital; referência divulgada pela página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO.",not-selected,candidate,public/media/museum/originals/MM202605.jpg
MM202606,Escavações arqueológicas nas Ruínas de Milreu,Fotografia associada às escavações arqueológicas em Milreu no final do século XIX.,true,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",not-selected,candidate,public/media/museum/originals/MM202606.jpg
MM202607,Bustos romanos de Milreu,Registo considerado um dos primeiros após a descoberta dos bustos de Adriano e Agripina em Milreu.,true,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",not-selected,candidate,public/media/museum/originals/MM202607.jpg
MM202608,"Edifício de cultos, potencialmente em 1910","Registo fotográfico em frente ao edifício de cultos de Milreu, potencialmente datado de 1910 segundo relatos orais.",true,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",not-selected,candidate,public/media/museum/originals/MM202608.jpg
MM202609,Pessoas em frente ao edifício de cultos,"Fotografia de pessoas em frente ao edifício de cultos de Milreu, em ano desconhecido.",true,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",not-selected,candidate,public/media/museum/originals/MM202609.jpg
MM202610,Poesia nas ruínas,Fotografia associada ao espólio do poeta Emiliano da Costa e à memória literária de Estoi.,true,Coleção de José António Paula Brito.,not-selected,candidate,public/media/museum/originals/MM202610.jpg
MM202611,Natalina Crispim na Casa Rural de Milreu,"Fotografia de Natalina Crispim quando morava na Casa Rural de Milreu, na subida do Monte Figo.",true,Arquivo digital associado à memória de Natalina Crispim.,not-selected,candidate,public/media/museum/originals/MM202611.jpg
MM202612,Rosário Félix desenha as memórias de Natalina Crispim,"Registo de Rosário Félix a desenhar memórias de Natalina Crispim, no contexto da Partilha Alternativa.",true,Partilha Alternativa; página de Facebook da Partilha Alternativa.,not-selected,candidate,public/media/museum/originals/MM202612.jpg
MM202613,Theodor Hauschild e equipa de escavadores em Milreu,Fotografia de grupo associada às campanhas arqueológicas de Milreu com o Instituto Arqueológico Alemão.,true,Coleção de Maria de Lurdes Mendes Martins; fotografia providenciada por Celeste Pimenta e Branca Pimenta.,not-selected,candidate,public/media/museum/originals/MM202613.jpg
MM202614,Equipa de escavadores em Milreu sobre os mosaicos,"Fotografia de grupo das campanhas arqueológicas de Milreu, com 31 indivíduos sobre os mosaicos.",true,Fotografia providenciada por Celeste Pimenta e Branca Pimenta; associada à coleção de Maria de Lurdes Mendes Martins.,not-selected,candidate,public/media/museum/originals/MM202614.jpg
MM202615,Os escavadores ao almoço,Fotografia de momento de refeição dos escavadores durante as campanhas arqueológicas de Milreu.,true,Coleção de Maria de Lurdes Mendes Martins; fotografia providenciada por Celeste Pimenta e Branca Pimenta.,not-selected,candidate,public/media/museum/originals/MM202615.jpg
MM202616,Grupo de trabalhadores com Theodor Hauschild,"Grupo de trabalhadores nas campanhas de Milreu, com possível presença de Theodor Hauschild.",true,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",not-selected,candidate,public/media/museum/originals/MM202616.jpg
MM202618,Trabalhando nas ruínas,Fotografia de trabalho nas ruínas durante as campanhas arqueológicas de Milreu.,true,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",not-selected,candidate,public/media/museum/originals/MM202618.jpg
MM202619,Tomando notas dos achados,"Fotografia de pessoa a tomar notas, possivelmente Dona Celeste Pimenta, no contexto de trabalho arqueológico em Milreu.",true,Coleção de Maria de Lurdes Mendes Martins; referência da página Partilha Alternativa.,not-selected,candidate,public/media/museum/originals/MM202619.jpg
MM202620,No frigidarium,Fotografia de trabalhadora das ruínas sentada no frigidarium de Milreu.,true,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",not-selected,candidate,public/media/museum/originals/MM202620.jpg
MM202621,Lavando cacos,Fotografia de trabalhadores a lavar cacos durante campanhas arqueológicas de Milreu.,true,Coleção de Maria de Lurdes Mendes Martins; referência da página Partilha Alternativa.,not-selected,candidate,public/media/museum/originals/MM202621.jpg
MM202622,Trabalhadoras das ruínas a cozinhar,Fotografia de trabalhadoras das ruínas a cozinhar durante campanhas arqueológicas de Milreu.,true,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",not-selected,candidate,public/media/museum/originals/MM202622.jpg
MM202623,Trabalhadores das ruínas,Fotografia de trabalhadores das ruínas durante campanhas arqueológicas de Milreu.,true,"Fotografia providenciada por Celeste Pimenta e Branca Pimenta, filhas de Dona Noémia Cruz.",not-selected,candidate,public/media/museum/originals/MM202623.jpg
