id,title_pt,short_text_pt,credit_pt,date_pt,qr_target_path,selection_status,eligibility,print_source
MM202601,"Um aspecto do cortejo da Festa da Pinha, em Estoi","Registo do cortejo da Festa da Pinha em Estoi, em 1909, em frente à Casa Rural de Milreu.",Arquivo Nacional da Torre do Tombo — Foto Artística Samorrinha. Autor: José Viegas Samorrinha. Código de referência: PT/TT/SAM/A/001/000016.,1909-05-02,/museu/memorias/MM202601,not-selected,candidate,public/media/museum/originals/MM202601.jpg
MM202602,"Memórias de juventude — Estoi, década de 1950","Grupo de jovens raparigas junto ao edifício de cultos de Milreu, possivelmente durante um passeio, na década de 1950.","Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",ca. 1950s,/museu/memorias/MM202602,not-selected,candidate,public/media/museum/originals/MM202602.jpg
MM202603,Achados romanos de Milreu,Registo associado aos achados dos bustos romanos de Agripina e Adriano nas escavações de Milreu.,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",1966-1967,/museu/memorias/MM202603,not-selected,candidate,public/media/museum/originals/MM202603.jpg
MM202604,Figura popular de Estoi — Ti’ Jacinto,"Retrato de Ti’ Jacinto, figura recordada pela comunidade de Estoi.",Fotografia cedida por Luís Barriga; descrição divulgada na página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO.,Data não determinada,/museu/memorias/MM202604,not-selected,candidate,public/media/museum/originals/MM202604.jpg
MM202605,Visita de jornalistas ingleses a Milreu,Registo da visita de jornalistas ingleses às Ruínas de Milreu em 1913.,"Ilustração Portuguesa, 2.ª série, n.º 368, 10 de março de 1913; Hemeroteca Digital; referência divulgada pela página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO.",1913,/museu/memorias/MM202605,not-selected,candidate,public/media/museum/originals/MM202605.jpg
MM202606,Escavações arqueológicas nas Ruínas de Milreu,Fotografia associada às escavações arqueológicas em Milreu no final do século XIX.,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",1897,/museu/memorias/MM202606,not-selected,candidate,public/media/museum/originals/MM202606.jpg
MM202607,Bustos romanos de Milreu,Registo considerado um dos primeiros após a descoberta dos bustos de Adriano e Agripina em Milreu.,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",1966,/museu/memorias/MM202607,not-selected,candidate,public/media/museum/originals/MM202607.jpg
MM202608,"Edifício de cultos, potencialmente em 1910","Registo fotográfico em frente ao edifício de cultos de Milreu, potencialmente datado de 1910 segundo relatos orais.","Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",potencialmente 1910,/museu/memorias/MM202608,not-selected,candidate,public/media/museum/originals/MM202608.jpg
MM202609,Pessoas em frente ao edifício de cultos,"Fotografia de pessoas em frente ao edifício de cultos de Milreu, em ano desconhecido.","Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",Ano desconhecido,/museu/memorias/MM202609,not-selected,candidate,public/media/museum/originals/MM202609.jpg
MM202610,Poesia nas ruínas,Fotografia associada ao espólio do poeta Emiliano da Costa e à memória literária de Estoi.,Coleção de José António Paula Brito.,Data não determinada,/museu/memorias/MM202610,not-selected,candidate,public/media/museum/originals/MM202610.jpg
MM202611,Natalina Crispim na Casa Rural de Milreu,"Fotografia de Natalina Crispim quando morava na Casa Rural de Milreu, na subida do Monte Figo.",Arquivo digital associado à memória de Natalina Crispim.,Data não determinada,/museu/memorias/MM202611,not-selected,candidate,public/media/museum/originals/MM202611.jpg
MM202612,Rosário Félix desenha as memórias de Natalina Crispim,"Registo de Rosário Félix a desenhar memórias de Natalina Crispim, no contexto da Partilha Alternativa.",Partilha Alternativa; página de Facebook da Partilha Alternativa.,Possivelmente próxima da produção do documentário Memórias Vivas da Casa Rural,/museu/memorias/MM202612,not-selected,candidate,public/media/museum/originals/MM202612.jpg
MM202613,Theodor Hauschild e equipa de escavadores em Milreu,Fotografia de grupo associada às campanhas arqueológicas de Milreu com o Instituto Arqueológico Alemão.,Coleção de Maria de Lurdes Mendes Martins; fotografia providenciada por Celeste Pimenta e Branca Pimenta.,"ca. 1981, segundo hipótese de Cristina Farias",/museu/memorias/MM202613,not-selected,candidate,public/media/museum/originals/MM202613.jpg
